frequency	real part	imaginary part
4  	-16.0164  	-1.27133
4.5  	-2.09174  	23.9087
5  	14.5237  	1.37905
5.5  	-4.25822e-10  	1.3819e-09
6  	4.45829  	0.479847
6.5  	1.97938e-09  	-1.09724e-09
7  	2.49867  	0.291875
7.5  	1.84039e-09  	-9.68995e-10
8  	1.69007  	0.206077

frequency	magnitude	phase (degrees)
4  	16.0668  	-175.462
4.5  	24  	95
5  	14.589  	5.42409
5.5  	1.44602e-09  	107.126
6  	4.48404  	6.1431
6.5  	2.26316e-09  	-29.0012
7  	2.51566  	6.66266
7.5  	2.0799e-09  	-27.7675
8  	1.70258  	6.95199

frequency	real part	imaginary part
4  	-16.0164  	-1.27133
4.5  	-2.09174  	23.9087
5  	14.5237  	1.37905
5.5  	-4.25823e-010  	1.3819e-009
6  	4.45829  	0.479847
6.5  	1.97938e-009  	-1.09724e-009
7  	2.49867  	0.291875
7.5  	1.84039e-009  	-9.68995e-010
8  	1.69007  	0.206077

frequency	magnitude	phase (degrees)
4  	16.0668  	-175.462
4.5  	24  	95
5  	14.589  	5.42409
5.5  	1.44602e-009  	107.126
6  	4.48404  	6.1431
6.5  	2.26316e-009  	-29.0012
7  	2.51566  	6.66266
7.5  	2.0799e-009  	-27.7675
8  	1.70258  	6.95199

frequency	real part	imaginary part
4  	-16.0164  	-1.27133
4.5  	-2.09174  	23.9087
5  	14.5237  	1.37905
5.5  	-4.25823e-010  	1.3819e-009
6  	4.45829  	0.479847
6.5  	1.97938e-009  	-1.09724e-009
7  	2.49867  	0.291875
7.5  	1.84039e-009  	-9.68995e-010
8  	1.69007  	0.206077

frequency	magnitude	phase (degrees)
4  	16.0668  	-175.462
4.5  	24  	95
5  	14.589  	5.42409
5.5  	1.44602e-009  	107.126
6  	4.48404  	6.1431
6.5  	2.26316e-009  	-29.0012
7  	2.51566  	6.66266
7.5  	2.0799e-009  	-27.7675
8  	1.70258  	6.95199

